run_index,source_path,generated_at_utc,pred_label,n_particles,mean_super_score,mean_pt,mean_energy,mean_deltaR,particle0_fraction,charged_fraction
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,label_Hqql,599,2.5072382391991717,45.74951431060257,66.53524997865219,0.19352509921113253,0.08347245409015025,0.4524207011686144
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,label_Tbl,336,2.518002119447504,45.0248954372115,57.50140246145782,0.32242472046205084,0.08333333333333333,0.375
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,label_Wqq,12,2.2187444965044656,55.81353279422075,184.97999354203543,0.23102972627222315,0.08333333333333333,0.3333333333333333
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,label_Zqq,12,2.6364502708117166,36.63273994589182,79.75758115450542,0.11565868809234542,0.08333333333333333,0.6666666666666666
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,label_Hqql,599,2.5072382391991717,45.74951431060257,66.53524997865219,0.19352509921113253,0.08347245409015025,0.4524207011686144
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,label_Tbl,336,2.518002119447504,45.0248954372115,57.50140246145782,0.32242472046205084,0.08333333333333333,0.375
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,label_Wqq,12,2.2187444965044656,55.81353279422075,184.97999354203543,0.23102972627222315,0.08333333333333333,0.3333333333333333
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,label_Zqq,12,2.6364502708117166,36.63273994589182,79.75758115450542,0.11565868809234542,0.08333333333333333,0.6666666666666666
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,label_H4q,12,2.9607195456822715,19.02850473069421,20.20707391699155,0.20211258659145917,0.08333333333333333,0.3333333333333333
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,label_Hcc,12,2.8848269979159036,35.060044065229654,35.43248297770818,0.19443640113361058,0.08333333333333333,0.5
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,label_Hqql,240,2.818269016345342,46.19747707688256,83.31794985408584,0.19956947881282455,0.08333333333333333,0.4708333333333333
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,label_QCD,98,2.8450132754384256,58.56401331166985,85.24434453613904,0.16988334146238615,0.09183673469387756,0.4387755102040816
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,label_Tbl,276,2.8474176336025847,40.94619501329335,52.52584207036357,0.3175848696551202,0.08333333333333333,0.38768115942028986
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,label_Wqq,36,3.129000359111362,42.48706259853151,65.5003665122721,0.1322679114778166,0.08333333333333333,0.4444444444444444
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,label_Zqq,36,2.856406569480896,43.26384805265217,69.26118100351758,0.2171915040032437,0.08333333333333333,0.5
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_H4q,12,2.9607195456822715,19.02850473069421,20.20707391699155,0.20211258659145917,0.08333333333333333,0.3333333333333333
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Hcc,12,2.8848269979159036,35.060044065229654,35.43248297770818,0.19443640113361058,0.08333333333333333,0.5
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Hqql,240,2.818269016345342,46.19747707688256,83.31794985408584,0.19956947881282455,0.08333333333333333,0.4708333333333333
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_QCD,98,2.8450132754384256,58.56401331166985,85.24434453613904,0.16988334146238615,0.09183673469387756,0.4387755102040816
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Tbl,276,2.8474176336025847,40.94619501329335,52.52584207036357,0.3175848696551202,0.08333333333333333,0.38768115942028986
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Wqq,36,3.129000359111362,42.48706259853151,65.5003665122721,0.1322679114778166,0.08333333333333333,0.4444444444444444
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,label_Zqq,36,2.856406569480896,43.26384805265217,69.26118100351758,0.2171915040032437,0.08333333333333333,0.5
